generated_at: 2026-08-24T14:05:07.815828+00:00
cell_name: NDROMDrivers
CircuitComponent(raw=LI23|L9, cir_name=L9, path=I23/L9, pid=L9, layout_cell=NDROM2, net_in=net6, net_out=I23|net110, target_value=2.7, extracted_value=None)
CircuitComponent(raw=LL102, cir_name=L18, path=L102, pid=L102, layout_cell=NDROMDrivers, net_in=net9, net_out=net6, target_value=3.8, extracted_value=None)
CircuitComponent(raw=XsjX100, cir_name=J12, path=X100, pid=X100, layout_cell=NDROMDrivers, net_in=net11, net_out=GND!, target_value=205.0, extracted_value=None)
CircuitComponent(raw=LL103, cir_name=L19, path=L103, pid=L103, layout_cell=NDROMDrivers, net_in=CLK, net_out=net11, target_value=2.0, extracted_value=None)
CircuitComponent(raw=XsjX101, cir_name=J13, path=X101, pid=X101, layout_cell=NDROMDrivers, net_in=net9, net_out=GND!, target_value=300.0, extracted_value=None)
CircuitComponent(raw=LL100, cir_name=L17, path=L100, pid=L100, layout_cell=NDROMDrivers, net_in=net10, net_out=net9, target_value=1.2, extracted_value=None)
CircuitComponent(raw=XpcIB1, cir_name=IB1, path=IB1, pid=IB1, layout_cell=NDROMDrivers, net_in=Src26, net_out=net10, target_value=280.0, extracted_value=None)
CircuitComponent(raw=XsjX5, cir_name=J14, path=X5, pid=X5, layout_cell=NDROMDrivers, net_in=net35, net_out=GND!, target_value=205.0, extracted_value=None)
CircuitComponent(raw=LL14, cir_name=L25, path=L14, pid=L14, layout_cell=NDROMDrivers, net_in=DX, net_out=net35, target_value=2.0, extracted_value=None)
CircuitComponent(raw=XsjX4, cir_name=J15, path=X4, pid=X4, layout_cell=NDROMDrivers, net_in=net33, net_out=GND!, target_value=300.0, extracted_value=None)
CircuitComponent(raw=LL23, cir_name=L20, path=L23, pid=L23, layout_cell=NDROMDrivers, net_in=net34, net_out=net33, target_value=0.6, extracted_value=None)
CircuitComponent(raw=XpcIB3, cir_name=IB2, path=IB3, pid=IB3, layout_cell=NDROMDrivers, net_in=Src26, net_out=net34, target_value=280.0, extracted_value=None)
CircuitComponent(raw=LL22, cir_name=L21, path=L22, pid=L22, layout_cell=NDROMDrivers, net_in=net35, net_out=net34, target_value=1.7, extracted_value=None)
CircuitComponent(raw=XsjX1, cir_name=J16, path=X1, pid=X1, layout_cell=NDROMDrivers, net_in=net28, net_out=GND!, target_value=300.0, extracted_value=None)
CircuitComponent(raw=XsjX0, cir_name=J17, path=X0, pid=X0, layout_cell=NDROMDrivers, net_in=net30, net_out=GND!, target_value=200.0, extracted_value=None)
CircuitComponent(raw=LL11, cir_name=L24, path=L11, pid=L11, layout_cell=NDROMDrivers, net_in=DX_bar, net_out=net30, target_value=2.0, extracted_value=None)
CircuitComponent(raw=XsjX82, cir_name=J18, path=X82, pid=X82, layout_cell=NDROMDrivers, net_in=net4, net_out=GND!, target_value=200.0, extracted_value=None)
CircuitComponent(raw=LL73, cir_name=L31, path=L73, pid=L73, layout_cell=NDROMDrivers, net_in=net5, net_out=net4, target_value=2.75, extracted_value=None)
CircuitComponent(raw=XsjX83, cir_name=J19, path=X83, pid=X83, layout_cell=NDROMDrivers, net_in=net2, net_out=GND!, target_value=300.0, extracted_value=None)
CircuitComponent(raw=LL81, cir_name=L30, path=L81, pid=L81, layout_cell=NDROMDrivers, net_in=net2, net_out=Out, target_value=1.05, extracted_value=None)
CircuitComponent(raw=LL80, cir_name=L28, path=L80, pid=L80, layout_cell=NDROMDrivers, net_in=net3, net_out=net2, target_value=1.05, extracted_value=None)
CircuitComponent(raw=XpcIB4, cir_name=IB3, path=IB4, pid=IB4, layout_cell=NDROMDrivers, net_in=Src26, net_out=net3, target_value=250.00000000000003, extracted_value=None)
CircuitComponent(raw=LL71, cir_name=L29, path=L71, pid=L71, layout_cell=NDROMDrivers, net_in=net4, net_out=net3, target_value=1.05, extracted_value=None)
CircuitComponent(raw=LL101, cir_name=L16, path=L101, pid=L101, layout_cell=NDROMDrivers, net_in=net11, net_out=net10, target_value=1.1, extracted_value=None)
CircuitComponent(raw=LL20, cir_name=L22, path=L20, pid=L20, layout_cell=NDROMDrivers, net_in=net30, net_out=net29, target_value=1.1, extracted_value=None)
