
=== LAYOUT MAPPING AUDIT ===
OK   | raw=XsjI12|J2          path=I12/J2          pid=J2     layout_cell=NDROM2 device_cell=jj_s_pcell_e6a0
OK   | raw=XsjI12|J4          path=I12/J4          pid=J4     layout_cell=NDROM2 device_cell=jj_s_pcell_34fb
OK   | raw=XsjI12|J7          path=I12/J7          pid=J7     layout_cell=NDROM2 device_cell=jj_s_pcell_74b5
OK   | raw=XsjI12|J10         path=I12/J10         pid=J10    layout_cell=NDROM2 device_cell=jj_s_pcell_7e54
OK   | raw=XsjI12|J3          path=I12/J3          pid=J3     layout_cell=NDROM2 device_cell=jj_s_pcell_0a7e
OK   | raw=XsjI12|J6          path=I12/J6          pid=J6     layout_cell=NDROM2 device_cell=jj_s_pcell_64e8
OK   | raw=XsjI12|J8          path=I12/J8          pid=J8     layout_cell=NDROM2 device_cell=jj_s_pcell_bb5e
OK   | raw=XsjI12|J11         path=I12/J11         pid=J11    layout_cell=NDROM2 device_cell=jj_s_pcell_34fb
OK   | raw=XsjI12|J9          path=I12/J9          pid=J9     layout_cell=NDROM2 device_cell=jj_s_pcell_34fb
OK   | raw=XsjI6|J1           path=I6/J1           pid=J1     layout_cell=confluenceBufferUpgrade device_cell=jj_s_pcell_34fb
OK   | raw=XsjI6|J2           path=I6/J2           pid=J2     layout_cell=confluenceBufferUpgrade device_cell=jj_s_pcell_a806
OK   | raw=XsjI6|J3           path=I6/J3           pid=J3     layout_cell=confluenceBufferUpgrade device_cell=jj_s_pcell_c4c3
OK   | raw=XsjI6|J4           path=I6/J4           pid=J4     layout_cell=confluenceBufferUpgrade device_cell=jj_s_pcell_34fb
OK   | raw=XsjI6|J5           path=I6/J5           pid=J5     layout_cell=confluenceBufferUpgrade device_cell=jj_s_pcell_a806
OK   | raw=XsjI6|J6           path=I6/J6           pid=J6     layout_cell=confluenceBufferUpgrade device_cell=jj_s_pcell_c4c3
OK   | raw=XsjI6|J7           path=I6/J7           pid=J7     layout_cell=confluenceBufferUpgrade device_cell=jj_s_pcell_34fb
OK   | raw=XpcI0|IB1          path=I0/IB1          pid=IB1    layout_cell=NDROM2 device_cell=pwrcell_pcell_0bb1
OK   | raw=XpcI0|IB2          path=I0/IB2          pid=IB2    layout_cell=NDROM2 device_cell=pwrcell_pcell_d53e
OK   | raw=XpcI0|IB3          path=I0/IB3          pid=IB3    layout_cell=NDROM2 device_cell=pwrcell_pcell_0bb1
OK   | raw=XpcI0|IB4          path=I0/IB4          pid=IB4    layout_cell=NDROM2 device_cell=pwrcell_pcell_a26d
OK   | raw=XpcI0|IB6          path=I0/IB6          pid=IB6    layout_cell=NDROM2 device_cell=pwrcell_pcell_0bb1
OK   | raw=XpcI0|IB5          path=I0/IB5          pid=IB5    layout_cell=NDROM2 device_cell=pwrcell_pcell_0bb1
OK   | raw=XpcI12|IB1         path=I12/IB1         pid=IB1    layout_cell=NDROM2 device_cell=pwrcell_pcell_0bb1
OK   | raw=XpcI12|IB2         path=I12/IB2         pid=IB2    layout_cell=NDROM2 device_cell=pwrcell_pcell_d53e
OK   | raw=XpcI12|IB3         path=I12/IB3         pid=IB3    layout_cell=NDROM2 device_cell=pwrcell_pcell_0bb1
OK   | raw=XpcI12|IB4         path=I12/IB4         pid=IB4    layout_cell=NDROM2 device_cell=pwrcell_pcell_a26d
OK   | raw=XpcI12|IB6         path=I12/IB6         pid=IB6    layout_cell=NDROM2 device_cell=pwrcell_pcell_0bb1
OK   | raw=XpcI12|IB5         path=I12/IB5         pid=IB5    layout_cell=NDROM2 device_cell=pwrcell_pcell_0bb1
OK   | raw=XpcI6|IB1          path=I6/IB1          pid=IB1    layout_cell=confluenceBufferUpgrade device_cell=pwrcell_pcell_0bb1
OK   | raw=XpcI6|IB2          path=I6/IB2          pid=IB2    layout_cell=confluenceBufferUpgrade device_cell=pwrcell_pcell_0bb1
OK   | raw=XpcI6|IB3          path=I6/IB3          pid=IB3    layout_cell=confluenceBufferUpgrade device_cell=pwrcell_pcell_d864
OK   | raw=XpcI6|IB4          path=I6/IB4          pid=IB4    layout_cell=confluenceBufferUpgrade device_cell=pwrcell_pcell_0bb1

=== SUMMARY ===
Total logical elements: 85
Mapped: 85
Unmapped: 0
